epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.827,1.19876,1.71907,1.2839,1.17959,0.73406,0.78955,0.79186,0.50037,0.73001,0.7852,0.77972,0.40672,1.04627,0.5621,1.20525,1.1658,0.000664609,0.000664609,0.000664609
2,531.541,1.16864,1.51449,0.94995,1.14311,0.7644,0.71578,0.75832,0.46775,0.7712,0.7402,0.77272,0.42877,1.07646,0.61755,1.0622,1.26158,0.0013137,0.0013137,0.0013137
3,790.381,1.13229,1.4796,0.91125,1.1275,0.78805,0.77358,0.79292,0.51143,0.78654,0.76778,0.79717,0.40596,1.0368,0.60796,0.97895,1.15169,0.0019452,0.0019452,0.0019452
4,1054.97,1.0831,1.43813,0.84826,1.10244,0.77162,0.79536,0.76158,0.52272,0.76855,0.78955,0.75521,0.4593,0.89747,0.49589,0.87918,1.11314,0.0019208,0.0019208,0.0019208
5,1316.84,1.05354,1.41253,0.80854,1.08959,0.80391,0.7852,0.82717,0.57321,0.81205,0.77649,0.82687,0.49772,0.83729,0.46772,0.8441,1.06305,0.0018944,0.0018944,0.0018944
6,1579.75,1.01658,1.39837,0.77732,1.07274,0.82567,0.75615,0.84024,0.58933,0.82849,0.76419,0.8465,0.49848,0.82041,0.46999,0.81642,1.10326,0.001868,0.001868,0.001868
7,1841.09,1.00009,1.3646,0.75963,1.06518,0.82106,0.80552,0.87789,0.57761,0.8402,0.78955,0.8824,0.52439,0.80654,0.44536,0.85544,1.06708,0.0018416,0.0018416,0.0018416
8,2102.49,0.95917,1.32578,0.73342,1.0472,0.81596,0.78084,0.83612,0.60811,0.8281,0.79245,0.85242,0.51884,0.74705,0.4573,0.79278,1.0226,0.0018152,0.0018152,0.0018152
9,2364.33,0.95158,1.33272,0.72298,1.04307,0.80217,0.80626,0.85141,0.62917,0.81228,0.81642,0.86015,0.54257,0.72188,0.43749,0.76474,0.99788,0.0017888,0.0017888,0.0017888
10,2629.91,0.94628,1.32553,0.7102,1.04,0.80599,0.78665,0.86511,0.65049,0.82426,0.79826,0.87288,0.54855,0.73631,0.44464,0.74588,1.02404,0.0017624,0.0017624,0.0017624
11,2893.51,0.92873,1.30399,0.70616,1.03553,0.77271,0.81567,0.85842,0.62692,0.77471,0.82847,0.86778,0.53732,0.73,0.42295,0.7956,1.0072,0.001736,0.001736,0.001736
12,3150.54,0.90884,1.29821,0.68305,1.02606,0.82078,0.82422,0.89141,0.66031,0.83479,0.82583,0.89196,0.55673,0.72865,0.4447,0.71985,1.02742,0.0017096,0.0017096,0.0017096
13,3409.23,0.89665,1.28307,0.67141,1.0217,0.79478,0.80842,0.85578,0.64404,0.81941,0.80342,0.85998,0.55161,0.71456,0.43447,0.73012,1.01402,0.0016832,0.0016832,0.0016832
14,3670.81,0.89141,1.27194,0.66985,1.01406,0.79047,0.78847,0.84915,0.64661,0.81942,0.79032,0.86625,0.53764,0.67236,0.42911,0.75727,0.96016,0.0016568,0.0016568,0.0016568
15,3929.55,0.89319,1.28156,0.66078,1.01684,0.80806,0.81265,0.83872,0.62628,0.80749,0.81567,0.84518,0.53421,0.72725,0.44305,0.76003,1.00013,0.0016304,0.0016304,0.0016304
16,4190.21,0.86641,1.24853,0.6541,1.00625,0.82255,0.8208,0.87794,0.64503,0.83641,0.81713,0.88765,0.56174,0.68956,0.42767,0.71902,0.99083,0.001604,0.001604,0.001604
17,4449.61,0.86119,1.24944,0.64533,1.00341,0.85301,0.80987,0.88752,0.67609,0.8618,0.81453,0.89205,0.57979,0.66585,0.42759,0.68334,0.97634,0.0015776,0.0015776,0.0015776
18,4709.1,0.84859,1.22727,0.63804,1.00002,0.82,0.81713,0.8645,0.657,0.82075,0.82148,0.87235,0.55771,0.68849,0.41524,0.70007,0.98353,0.0015512,0.0015512,0.0015512
19,4968.42,0.84877,1.23064,0.63593,0.99549,0.84932,0.80406,0.88504,0.67841,0.85658,0.80842,0.88845,0.57862,0.68687,0.41564,0.68921,0.99833,0.0015248,0.0015248,0.0015248
20,5225.16,0.83192,1.19834,0.62628,0.993,0.81919,0.81858,0.86112,0.67096,0.82408,0.82438,0.86978,0.57536,0.64552,0.41295,0.70745,0.96376,0.0014984,0.0014984,0.0014984
21,5483.71,0.82833,1.19668,0.62145,0.98745,0.84461,0.80469,0.88855,0.68693,0.85071,0.8105,0.8994,0.58438,0.64054,0.4087,0.66806,0.96457,0.001472,0.001472,0.001472
22,5742.24,0.81435,1.18613,0.6076,0.98413,0.8093,0.83768,0.89036,0.67743,0.82336,0.84035,0.90097,0.59157,0.65761,0.40111,0.68123,0.98026,0.0014456,0.0014456,0.0014456
23,6003.13,0.81833,1.17838,0.60719,0.9834,0.83597,0.82003,0.88776,0.68043,0.85552,0.83361,0.9018,0.5897,0.67339,0.40636,0.67374,1.01854,0.0014192,0.0014192,0.0014192
24,6261.92,0.79946,1.15844,0.59967,0.97986,0.81918,0.84325,0.89299,0.67791,0.82299,0.84325,0.89143,0.58982,0.66089,0.41286,0.67758,0.99175,0.0013928,0.0013928,0.0013928
25,6519.35,0.79838,1.1539,0.59208,0.9815,0.82759,0.83309,0.88796,0.68837,0.83397,0.8389,0.89395,0.59548,0.644,0.39571,0.69978,0.96107,0.0013664,0.0013664,0.0013664
26,6778.03,0.79251,1.13418,0.58707,0.97839,0.83885,0.81422,0.88838,0.69137,0.84548,0.82003,0.89243,0.59531,0.64416,0.40181,0.66569,0.96856,0.00134,0.00134,0.00134
27,7038.42,0.78319,1.1502,0.5777,0.97266,0.83391,0.82438,0.8878,0.68391,0.83905,0.83229,0.89366,0.59299,0.66323,0.39713,0.68717,0.98574,0.0013136,0.0013136,0.0013136
28,7297.28,0.7821,1.13236,0.58118,0.97181,0.83885,0.81132,0.88652,0.68862,0.84858,0.82148,0.90279,0.60495,0.63623,0.39528,0.67035,0.95093,0.0012872,0.0012872,0.0012872
